Entity,Variants Jon used,Chosen canonical,Where they disagree,Jon: confirm? (y/n),Correction
Kirkenwall (Gidian capital),"Kirkenwall, Kierkenwall, Kierkewall, Kierkenwald",Kirkenwall,"gidian-empire.md + city doc title ""City of Kierkenwall Notes"" / body ""Kierkewall"" use Kierken-; goldcrest-notes.md uses ""Kierkenwall""; anthology-notes.md uses ""Kierkenwald"". Entrenched play-canon + map asset cities-kirkenwall--kierkenwall.jpg use Kirkenwall.",,
Surtree / Sultray (Carasian river city),"Surtree, Surterre, Sutree, Sutrey, Sultray",Surtree,"Jon's city doc TITLE is ""Surtree"" but its body uses ""Surterre"" and ""Sutree""; anthology-notes.md uses ""Surterre"". (Play-canon was ""Sultray"" — promoted to Surtree per pre-approved decision.)",,
Strathmore (Gidian coastal province of Goldcrest),"Strathmore, Stathmore",Strathmore,"gidian-empire.md uses ""Stathmore"" as the province header but ""Strathmore"" twice in the Goldcrest economy text; goldcrest-notes.md uses ""Strathmore"".",,
Wintervale (Gidian western highland province),"Wintervale, Wintervail",Wintervale,"gidian-empire.md province header reads ""Wintervale""; a ""Wintervail"" variant appears elsewhere in Jon's docs.",,
Luzonovia (nation short form),"Luzonovia, Luzanovia, Luzonivia",Luzonovia,"luzonovian-sovereignty.md title says ""Luzonovia"" but body repeatedly writes ""Luzanovians/Luzanovia""; map assets are foldered ""luzonivia"".",,
Maadolonia (nation name),"Maadolonia, Maadolinia, Maadolinian, Maandolin, Madalonia",Islands of Maadolonia,"Kingdom doc title ""Islands of Maadolonia"" vs its own table ""Islands of Maadolinia""; gidian-empire lineage ""conquered the Islands of Maandolin""; player-info doc ""Maadolinian"".",,
Tarlif / Tarleaf (Parathian capital city),"Tarlif, Tarilif, Tarilef, Tarleaf",Tarleaf,"Jon's city doc ""City of Tarlif Notes"" and kingdom doc ""Tarilif""; play-canon dossier is ""Tarleaf"" (already lists Tarilif/Tarilef as aliases). Same city (Sextet mageocracy, Flying Carpet inn, Shadowmoon Tower).",,
Grillers / Grelliers (Carasian breadbasket city),"Grillers, Grelliers, Grellier",Grillers,"City doc title ""City of Grillers Notes"" + map asset ""grillers"" vs the same doc/kingdom doc body ""Grelliers""; existing episode notes use ""Grellier"".",,
King of Luzonovia (current monarch),"Ruprecht the Young, Rupert the Young",Ruprecht the Young,"luzonovian-sovereignty.md lineage ""King Ruprecht the Young""; glossary E137 entry had ""King Rupert the Young"".",,
Beatrice / Beatris Lionsblood (Carasian queen),"Queen Beatrice, Beatris Lionsblood",Queen Beatrice,"Carasian/Vallon docs spell ""Beatris Lionsblood""; canon NPC is ""Queen Beatrice"".",,
